partner,month,value,share
Brazil,09/2024,8444670564,0.7426923567
Brazil,10/2024,5533981610,0.6842382688
Brazil,11/2024,3939875107,0.5507150941
Brazil,12/2024,2935355350,0.3696240989
Brazil,01/2025,2220319923,0.2855583251
Brazil,02/2025,1369085631,0.2348296239
Brazil,03/2025,951006051,0.2714492665
Brazil,04/2025,4598847249,0.7564027049
Brazil,05/2025,12109179994,0.870076323
Brazil,06/2025,10615151837,0.8656148517
Brazil,07/2025,10391201347,0.8908570456
Brazil,08/2025,10484030480,0.8539360019
Brazil,09/2025,10960516701,0.8516918826
United States,09/2024,1711507843,0.150523787
United States,10/2024,541433832,0.06694452096
United States,11/2024,2791270041,0.390163267
United States,12/2024,4255032354,0.5357996944
United States,01/2025,4918522544,0.6325777854
United States,02/2025,4213757900,0.7227562401
United States,03/2025,2436107694,0.6953474649
United States,04/2025,1377888810,0.2266304503
United States,05/2025,1627316469,0.1169269538
United States,06/2025,1579246838,0.1287800249
United States,07/2025,420873705,0.03608228663
United States,08/2025,227205109,0.0185061101
United States,09/2025,0,0