Project Name,Country,Region ,PRC Firm,Coordinates,Status,Ownership Share,Operator Share,Primary Cooperation Mode
Manzanillo,Mexico,Latin America,"Hutchison, People's Bank of China, China Harbor Engineering Company","(19.07044,-104.29)",Active,None,Majority,Lease
Veracruz,Mexico,Latin America,"Hutchison, China Harbor Engineering Company, China Communications Construction Company","(19.23812,-96.1717)",Active,None,Majority,Lease
Port of Balboa,Panama,Latin America,"Hutchison, China Harbor Engineering Company","(8.957641,-79.5613)",Active,None,Majority,Lease
Paranagua Port Terminal,Brazil,Latin America,China Merchants Port,"(-25.503,-48.5047)",Active,Majority,Majority,Acquisition
Port of Chancay,Peru,Latin America,COSCO,"(-11.5843,-77.2731)",Active,Majority,Majority,Acquisition
Port of Cristobal,Panama,Latin America,Hutchison,"(9.351867,-79.9016)",Active,None,Majority,Lease
Lazaro Cardenas,Mexico,Latin America,Hutchison,"(17.92177,-102.161)",Active,Majority,Majority,Acquisition
Puerto Cortes Specialized Container and Cargo Terminal,Honduras,Latin America,China Harbor Engineering Company,"(15.83033,-87.9305)",Completed,None,None,N/A
Port of Buenaventura Development Project,Colombia,Latin America,"Bank of China, Industrial and Commercial Bank of China","(3.894758,-77.0688)",In-progress,None,None,Loan
Port of Açu VLCC Terminal,Brazil,Latin America,China Merchants Port,"(-21.83593706,-41.00117452)",In-progress,None,Majority,Acquisition
Tuxpan Port Container Terminal Project,Mexico,Latin America,China Harbor General Contracting,"(20.95727,-97.3257)",Completed,None,None,N/A
San Antonio Pier Expansion Project,Chile,Latin America,China Harbor Engineering Company,"(-33.5935,-71.622)",Completed,None,None,N/A
Ensenada,Mexico,Latin America,Hutchison,"(31.85021,-116.628)",Active,None,Majority,Lease
DP World Posorja,Ecuador,Latin America,China Harbor Engineering Company,"(-2.68891,-80.2543)",Completed,None,None,N/A
Port of Cabello,Venezuela,Latin America,China Communications Construction Company,"(10.47452,-67.9995)",Completed,None,None,N/A
Pequiven Maritime Terminal Construction Project,Venezuela,Latin America,China Harbor Engineering Company,"(10.10332,-64.8559)",Completed,None,None,N/A
Port of Santos STS11 Agriculture Terminal,Brazil,Latin America,COFCO International,"(-23.9655,-46.3021)",In-progress,Unclear,Unclear,Lease
Amador Cruise Terminal,Panama,Latin America,China Harbor Engineering Company,"(8.915692,-79.522)",Completed,None,None,N/A
Port of Montevideo Dredging Project,Uruguay,Latin America,China Harbor Engineering Company,"(-34.8845,-56.2159)",In-progress,None,None,N/A
Porto Sul Intermodal Logistics Complex,Brazil,Latin America,"China Communications Construction Company, China Railway Group","(-14.7777,-39.0266)",In-progress,None,None,N/A
La Libertad Port,El Salvador,Latin America,China Harbor Engineering Company,"(13.48631,-89.3211)",Completed,None,None,N/A
San Nicolás Dock,Peru,Latin America,Shougang,"(-15.2484,-75.2367)",In-progress,None,None,N/A
San Juan de Marcona Port Terminal,Peru,Latin America,Jinzhao,"(-15.3498,-75.1463)",In-progress,None,None,Lease